obsname	n_sur	n_pre	sratio	pratio	nlen	is_multimatch
Bouvier	4.5	0.5	9.0	0.1111111111111111	1	False
Simpson	4.5	0.5	9.0	0.1111111111111111	1	False
Olsen	1.5	0.5	3.0	0.3333333333333333	1	False
Gurney	1.5	0.5	3.0	0.3333333333333333	1	False
Evelyn	0.5	1.5	0.3333333333333333	3.0	1	False
Bart	0.5	1.5	0.3333333333333333	3.0	1	False
Jay	0.5	1.5	0.3333333333333333	3.0	1	False
Margaret	0.5	1.5	0.3333333333333333	3.0	1	False
Lisa	0.5	1.5	0.3333333333333333	3.0	1	False
Homer	0.5	1.5	0.3333333333333333	3.0	1	False
Jacqueline	0.5	1.5	0.3333333333333333	3.0	1	False
Marjorie	0.5	1.5	0.3333333333333333	3.0	1	False
Jojo	0.5	1.5	0.3333333333333333	3.0	1	False
Marie	0.5	1.5	0.3333333333333333	3.0	1	False
